composition,Dmax,GFA,Tg,Tx,Tl
Al10Ca60Ga30,0.15,Ribbon,,,
Al20Ca60Ga20,0.15,Ribbon,,,
Al30Ca60Ga10,0.15,Ribbon,,,
Al40Ca60,0.15,Ribbon,,,
Al15Ca70Mg15,0.15,Ribbon,,,
Al22.5Ca70Mg7.5,0.15,Ribbon,,,
Al30Ca70,0.15,Ribbon,,,
Al85Ca10Mg5,0.15,Ribbon,,,
Al20Ca10Mg70,0.15,Ribbon,,,
Al87.5Ca7.5Ni5,0.15,Ribbon,,,
Al90Ca7.5Ni2.5,0.15,Ribbon,,,
Al85Ca10Ni5,0.15,Ribbon,,,
Al87.5Ca10Ni2.5,0,Crystal,,,
Al92.5Ca2.5Ni5,0,Crystal,,,
Al92.5Ca7.5,0,Crystal,,,
Al80Ca10Ni10,0,Crystal,,,
Al85Ca5Ni10,0,Crystal,,,
Al87.5Ca2.5Ni10,0,Crystal,,,
Al88.75Ca1.25Ni10,0,Crystal,,,
Al90Ca5Ni5,0,Crystal,,,
Al85Ca10Zn5,0.15,Ribbon,,,
Al89Ca11,0.15,Ribbon,,,
Al90Ca10,0.15,Ribbon,,,
Al91Ca9,0.15,Ribbon,,,
Al80Ce5Co15,0.15,Ribbon,,,
Al80Ce10Co10,0.15,Ribbon,,,
Al83Ce5Co12,0.15,Ribbon,,,
Al85Ce5Co10,0.15,Ribbon,,,
Al85Ce10Co5,0.15,Ribbon,,,
Al87Ce8Co5,0.15,Ribbon,,,
Al88Ce2Co10,0.15,Ribbon,,,
Al88Ce10Co2,0.15,Ribbon,,,
Al90Ce3Co7,0.15,Ribbon,,,
Al90Ce5Co5,0.15,Ribbon,,,
Al75Ce5Co20,0,Crystal,,,
Al75Ce10Co15,0,Crystal,,,
Al75Ce15Co10,0,Crystal,,,
Al77Ce10Co13,0,Crystal,,,
Al80Ce15Co5,0,Crystal,,,
Al94Ce4Co2,0,Crystal,,,
Al95Ce2Co3,0,Crystal,,,
Al85Ce10Cr5,0.15,Ribbon,,,
Al87Ce10Cr3,0.15,Ribbon,,,
Al89Ce8Cr3,0,Crystal,,,
Al80Ce10Cr10,0,Crystal,,,
Al80Ce15Cr5,0,Crystal,,,
Al83Ce10Cr7,0,Crystal,,,
Al87Ce8Cr5,0,Crystal,,,
Al93Ce2Cr5,0,Crystal,,,
Al94Ce2Cr4,0,Crystal,,,
Al75Ce10Cu15,0.15,Ribbon,,,
Al80Ce5Cu15,0.15,Ribbon,,,
Al80Ce10Cu10,0.15,Ribbon,,,
Al83Ce7Cu10,0.15,Ribbon,,,
Al85Ce5Cu10,0.15,Ribbon,,,
Al85Ce10Cu5,0.15,Ribbon,,,
Al87Ce8Cu5,0.15,Ribbon,,,
Al88Ce10Cu2,0.15,Ribbon,,,
Al91Ce9,0.15,Ribbon,,,
Al6Ce10Cu84,0.15,Ribbon,,,
Al8Ce8Cu84,0.15,Ribbon,,,
Al8Ce10Cu82,0.15,Ribbon,,,
Al10Ce8Cu82,0.15,Ribbon,,,
Al12Ce8Cu80,0.15,Ribbon,,,
Al88Ce5Cu7,0,Crystal,,,
Al90Ce5Cu5,0,Crystal,,,
Al2Ce8Cu90,0,Crystal,,,
Al2Ce10Cu88,0,Crystal,,,
Al4Ce8Cu88,0,Crystal,,,
Al4Ce10Cu86,0,Crystal,,,
Al6Ce6Cu88,0,Crystal,,,
Al6Ce8Cu86,0,Crystal,,,
Al8Ce6Cu86,0,Crystal,,,
Al10Ce4Cu86,0,Crystal,,,
Al10Ce6Cu84,0,Crystal,,,
Al70Ce10Cu20,0,Crystal,,,
Al70Ce15Cu15,0,Crystal,,,
Al75Ce5Cu20,0,Crystal,,,
Al75Ce15Cu10,0,Crystal,,,
Al80Ce15Cu5,0,Crystal,,,
Al83Ce2Cu15,0,Crystal,,,
Al88Ce2Cu10,0,Crystal,,,
Al2Ce6Cu92,0,Crystal,,,
Al4Ce4Cu92,0,Crystal,,,
Al6Ce4Cu90,0,Crystal,,,
Al10Ce2Cu88,0,Crystal,,,
Al10Ce10Cu80,0,Crystal,,,
Al12Ce6Cu82,0,Crystal,,,
Al12Ce10Cu78,0,Crystal,,,
Al14Ce6Cu80,0,Crystal,,,
Al14Ce8Cu78,0,Crystal,,,
Al14Ce10Cu76,0,Crystal,,,
Al80Ce10Fe10,0.15,Ribbon,,,
Al83Ce7Fe10,0.15,Ribbon,,,
Al85Ce5Fe10,0.15,Ribbon,,,
Al85Ce10Fe5,0.15,Ribbon,,,
Al87Ce8Fe5,0.15,Ribbon,,,
Al88Ce2Fe10,0.15,Ribbon,,,
Al88Ce10Fe2,0.15,Ribbon,,,
Al90Ce3Fe7,0.15,Ribbon,,,
Al92Ce8,0.15,Ribbon,,,
Al90Ce5Fe5,0.15,Ribbon,,,
Al75Ce15Fe10,0,Crystal,,,
Al75Ce10Fe15,0,Crystal,,,
Al80Ce15Fe5,0,Crystal,,,
Al84Ce2Fe14,0,Crystal,,,
Al89Ce1Fe10,0,Crystal,,,
Al94Ce4Fe2,0,Crystal,,,
Al94Ce6,0,Crystal,,,
Al94Ce2Fe4,0,Crystal,,,
Al85Ce10Mn5,0.15,Ribbon,,,
Al86Ce10Mn4,0.15,Ribbon,,,
Al88Ce10Mn2,0.15,Ribbon,,,
Al93Ce7,0.15,Ribbon,,,
Al83Ce10Mn7,0,Crystal,,,
Al87Ce8Mn5,0,Crystal,,,
Al89Ce6Mn5,0,Crystal,,,
Al80Ce10Mn10,0,Crystal,,,
Al85Ce5Mn10,0,Crystal,,,
Al88Ce2Mn10,0,Crystal,,,
Al93Ce2Mn5,0,Crystal,,,
Al94Ce2Mn4,0,Crystal,,,
Al80Ce10Nb10,0.15,Ribbon,,,
Al83Ce7Nb10,0.15,Ribbon,,,
Al85Ce10Nb5,0.15,Ribbon,,,
Al87Ce8Nb5,0.15,Ribbon,,,
Al88Ce10Nb2,0.15,Ribbon,,,
Al90Ce8Nb2,0.15,Ribbon,,,
Al92Ce6Nb2,0.15,Ribbon,,,
Al77Ce10Nb13,0,Crystal,,,
Al75Ce15Nb10,0,Crystal,,,
Al80Ce15Nb5,0,Crystal,,,
Al85Ce5Nb10,0,Crystal,,,
Al90Ce5Nb5,0,Crystal,,,
Al60Ce10Ni30,0.15,Ribbon,,,
Al65Ce5Ni30,0.15,Ribbon,,,
Al70Ce10Ni20,0.15,Ribbon,,,
Al84Ce6Ni10,0.15,Ribbon,,,
Al85Ce5Ni10,0.15,Ribbon,,,
Al85Ce6Ni9,0.15,Ribbon,,,
Al85Ce10Ni5,0.15,Ribbon,,,
Al86Ce6Ni8,0.15,Ribbon,,,
Al87Ce6Ni7,0.15,Ribbon,,,
Al87Ce13,0.15,Ribbon,,,
Al88Ce2Ni10,0.15,Ribbon,,,
Al88Ce12,0.15,Ribbon,,,
Al89Ce11,0.15,Ribbon,,,
Al90Ce10,0.15,Ribbon,,,
Al80Ce15Ni5,0,Crystal,,,
Al61Ce10Ni29,0.15,Ribbon,,,
Al65Ce15Ni20,0.15,Ribbon,,,
Al70Ce15Ni15,0.15,Ribbon,,,
Al75Ce5Ni20,0.15,Ribbon,,,
Al75Ce10Ni15,0.15,Ribbon,,,
Al80Ce5Ni15,0.15,Ribbon,,,
Al80Ce10Ni10,0.15,Ribbon,,,
Al82Ce8Ni10,0.15,Ribbon,,,
Al86Ce4Ni10,0.15,Ribbon,,,
Al87Ce5Ni8,0.15,Ribbon,,,
Al89Ce10Ni1,0.15,Ribbon,,,
Al70Ce20Ni10,0,Crystal,,,
Al90Ce5Ni5,0,Crystal,,,
Al60Ce20Ni20,0,Crystal,,,
Al95Ce5,0,Crystal,,,
Al25Ce55Ni20,0.15,Ribbon,,,
Al91Ce5Ni4,0.15,Ribbon,,,
Al88Ce10V2,0.15,Ribbon,,,
Al88Ce8V4,0,Crystal,,,
Al89Ce6V5,0,Crystal,,,
Al80Ce10V10,0,Crystal,,,
Al85Ce10V5,0,Crystal,,,
Al85Ce13V2,0,Crystal,,,
Al94Ce2V4,0,Crystal,,,
Al86Co12Fe2,0.15,Ribbon,,,
Al87Co11Fe2,0.15,Ribbon,,,
Al86Co14,0,Crystal,,,
Al87Co9Fe4,0,Crystal,,,
Al88Co8Fe4,0,Crystal,,,
Al88Co10Fe2,0,Crystal,,,
Al90Fe10,0,Crystal,,,
Al90Co2Fe8,0,Crystal,,,
Al90Co4Fe6,0,Crystal,,,
Al90Co6Fe4,0,Crystal,,,
Al90Co8Fe2,0,Crystal,,,
Al92Fe8,0,Crystal,,,
Al92Co2Fe6,0,Crystal,,,
Al92Co4Fe4,0,Crystal,,,
Al92Co6Fe2,0,Crystal,,,
Al94Fe6,0,Crystal,,,
Al94Co2Fe4,0,Crystal,,,
Al94Co4Fe2,0,Crystal,,,
Al96Fe4,0,Crystal,,,
Al96Co2Fe2,0,Crystal,,,
Al98Fe2,0,Crystal,,,
Al84Co12Fe4,0,Crystal,,,
Al84Co14Fe2,0,Crystal,,,
Al86Co4Fe10,0,Crystal,,,
Al86Co6Fe8,0,Crystal,,,
Al86Co8Fe6,0,Crystal,,,
Al86Co10Fe4,0,Crystal,,,
Al88Fe12,0,Crystal,,,
Al88Co2Fe10,0,Crystal,,,
Al88Co4Fe8,0,Crystal,,,
Al88Co6Fe6,0,Crystal,,,
Al42Co10Ge48,0.15,Ribbon,,,
Al57Co18Ge25,0.15,Ribbon,,,
Al69Co6Ge25,0.15,Ribbon,,,
Al78Co10Ge12,0.15,Ribbon,,,
Al25Co20La55,0.15,Ribbon,,,
Al88Co8Mn4,0,Crystal,,,
Al88Co10Mn2,0,Crystal,,,
Al88Co12,0,Crystal,,,
Al90Co6Mn4,0,Crystal,,,
Al90Co8Mn2,0,Crystal,,,
Al90Co10,0,Crystal,,,
Al92Co4Mn4,0,Crystal,,,
Al92Co6Mn2,0,Crystal,,,
Al92Co8,0,Crystal,,,
Al94Co4Mn2,0,Crystal,,,
Al94Co6,0,Crystal,,,
Al94Mn6,0,Crystal,,,
Al94Co2Mn4,0,Crystal,,,
Al96Mn4,0,Crystal,,,
Al96Co2Mn2,0,Crystal,,,
Al98Mn2,0,Crystal,,,
Al84Co12Mn4,0,Crystal,,,
Al84Co14Mn2,0,Crystal,,,
Al86Co8Mn6,0,Crystal,,,
Al86Co10Mn4,0,Crystal,,,
Al86Co12Mn2,0,Crystal,,,
Al88Co6Mn6,0,Crystal,,,
Al90Co2Mn8,0,Crystal,,,
Al90Co4Mn6,0,Crystal,,,
Al92Mn8,0,Crystal,,,
Al92Co2Mn6,0,Crystal,,,
Al87Co1Ni12,0.15,Ribbon,,,
Al88Co4Ni8,0.15,Ribbon,,,
Al88Co5Ni7,0.15,Ribbon,,,
Al87Co2Ni11,0.15,Ribbon,,,
Al94Ni6,0,Crystal,,,
Al94Co2Ni4,0,Crystal,,,
Al94Co4Ni2,0,Crystal,,,
Al96Ni4,0,Crystal,,,
Al96Co2Ni2,0,Crystal,,,
Al98Ni2,0,Crystal,,,
Al96Co4,0,Crystal,,,
Al98Co2,0,Crystal,,,
Al49Co10Si41,0.15,Ribbon,,,
Al52Co23Si25,0.15,Ribbon,,,
Al71Co4Si25,0.15,Ribbon,,,
Al75Co10Si15,0.15,Ribbon,,,
Al2Co88Zr10,0.15,Ribbon,,,
Al5Co85Zr10,0.15,Ribbon,,,
Al25Co20Zr55,0.15,Ribbon,,,
Al38Cr10Ge52,0.15,Ribbon,,,
Al61Cr10Ge29,0.15,Ribbon,,,
Al60Cr10Ge30,0.15,Ribbon,,,
Al65Cr20Ge15,0,Crystal,,,
Al25Cr20La55,0.15,Ribbon,,,
Al52Cr10Si38,0.15,Ribbon,,,
Al58Cr17Si25,0.15,Ribbon,,,
Al68Cr10Si22,0.15,Ribbon,,,
Al71Cr4Si25,0.15,Ribbon,,,
Al50Cr15Si35,0.15,Ribbon,,,
Al55Cr10Si35,0.15,Ribbon,,,
Al55Cr15Si30,0.15,Ribbon,,,
Al60Cr10Si30,0.15,Ribbon,,,
Al60Cr15Si25,0.15,Ribbon,,,
Al65Cr10Si25,0.15,Ribbon,,,
Al59Cr19Si22,0,Crystal,,,
Al60Cr18Si22,0,Crystal,,,
Al60Cr20Si20,0,Crystal,,,
Al61Cr21Si18,0,Crystal,,,
Al62Cr19Si19,0,Crystal,,,
Al63Cr19Si18,0,Crystal,,,
Al84Cr16,0,Crystal,,,
Al85Cr15,0,Crystal,,,
Al86Cr14,0,Crystal,,,
Al45Cr20Si35,0,Crystal,,,
Al55Cr20Si25,0,Crystal,,,
Al55Cr25Si20,0,Crystal,,,
Al57Cr23Si20,0,Crystal,,,
Al57Cr28Si15,0,Crystal,,,
Al60Cr5Si35,0,Crystal,,,
Al60Cr30Si10,0,Crystal,,,
Al65Cr25Si10,0,Crystal,,,
Al70Cr5Si25,0,Crystal,,,
Al70Cr25Si5,0,Crystal,,,
Al75Cr5Si20,0,Crystal,,,
Al80Cr5Si15,0,Crystal,,,
Al80Cr20,0,Crystal,,,
Al81Cr19,0,Crystal,,,
Al83Cr17,0,Crystal,,,
Al96Cr4,0,Crystal,,,
Al45Cr15Si40,0,Crystal,,,
Al58Cr20Si22,0,Crystal,,,
Al60Cr25Si15,0,Crystal,,,
Al63Cr15Si22,0,Crystal,,,
Al65Cr15Si20,0,Crystal,,,
Al65Cr20Si15,0,Crystal,,,
Al68Cr15Si17,0,Crystal,,,
Al70Cr10Si20,0,Crystal,,,
Al70Cr15Si15,0,Crystal,,,
Al70Cr20Si10,0,Crystal,,,
Al75Cr10Si15,0,Crystal,,,
Al75Cr15Si10,0,Crystal,,,
Al75Cr20Si5,0,Crystal,,,
Al80Cr10Si10,0,Crystal,,,
Al85Cr5Si10,0,Crystal,,,
Al85Cr10Si5,0,Crystal,,,
Al88Cr10Si2,0,Crystal,,,
Al88Cr12,0,Crystal,,,
Al90Cr5Si5,0,Crystal,,,
Al90Cr10,0,Crystal,,,
Al92Cr8,0,Crystal,,,
Al94Cr6,0,Crystal,,,
Al20Cr10Zr70,0.15,Ribbon,,,
Al75Ce20Fe5,0,Crystal,,,
Al77Ce18Fe5,0,Crystal,,,
Al64Ce23Fe13,0,Crystal,,,
